2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:17:27,193.FinalProject.INFO Prepared binary message b'[1715568,A]'....
2023-10-06 23:17:27,193.FinalProject.INFO Prepared binary message b'[1715568,4.00]'....
2023-10-06 23:17:32,209.FinalProject.INFO Prepared binary message b'[1715568,A]'....
2023-10-06 23:17:32,247.FinalProject.INFO Prepared binary message b'[1715568,4.00]'....
2023-10-06 23:17:37,271.FinalProject.INFO Prepared binary message b'[1715568,A-]'....
2023-10-06 23:17:37,271.FinalProject.INFO Prepared binary message b'[1715568,3.70]'....
2023-10-06 23:17:42,299.FinalProject.INFO Prepared binary message b'[1715568,B]'....
2023-10-06 23:17:42,323.FinalProject.INFO Prepared binary message b'[1715568,3.00]'....
2023-10-06 23:17:47,356.FinalProject.INFO Prepared binary message b'[1715568,A]'....
2023-10-06 23:17:47,372.FinalProject.INFO Prepared binary message b'[1715568,4.00]'....
2023-10-06 23:17:52,400.FinalProject.INFO Prepared binary message b'[1715568,B-]'....
2023-10-06 23:17:52,400.FinalProject.INFO Prepared binary message b'[1715568,2.70]'....
2023-10-06 23:17:57,426.FinalProject.INFO Prepared binary message b'[1715568,B-]'....
